"","creb_family_tfs","creb_binding_cofactors","creb_activity_markers","ap1_family_tfs","ATF1","ATF2","ATF4","ATF6B","AXL","CREB1","CREB3","CREB3L1","CREB3L2","CREB3L3","CREB3L4","CREB5","CREBBP","CREBL2","CREBRF","CREBZF","CREM","CRTC1","CRTC2","CRTC3","EID1","EP300","FOS","FOSB","FOSL1","FOSL2","JUN","JUNB","JUND","MITF","MKI67","NGFR","NR4A1","NR4A2","NR4A3","PCK1","PPARGC1A","RPS6KA3","RPS6KA4","RPS6KA5","RPS6KB1","SOX10"
"ACH000441",-0.0889903851926953,-0.00805179112557568,1.46569755556381,1.49061930872616,-0.839135450411945,-1.49747120733587,2.04034982230788,0.790379840381672,-1.20098197845949,0.48726396473508,-0.175152969165473,-0.612868886667265,-1.68505749763942,-0.167303524071994,0.165488481408757,-0.76829964707841,0.15683796398616,-0.591187649814032,1.6058982304239,-1.28002228951919,1.19226300455588,0.345607753858501,0.383901495458857,-0.624234436762149,-1.3382164761984,0.323663474035813,2.0613444508304,2.57936231214826,0.563190385394154,0.367932002487664,1.66869879013205,1.20184554087115,1.99196167921947,0.741253077804503,-0.219390259134071,-0.497842317386176,2.03509661922698,2.13313195052511,1.66320288519703,0.0313587673061351,0.696077687742188,1.46396079797659,0.204769299602054,0.993283713374855,-0.200119288304534,0.263213747582361
"ACH000465",-0.0421252732994822,0.166976573447318,-0.432537127872486,-0.750914221181768,-1.25391315245937,0.18878791747417,0.150476218454467,-0.244223184060382,-1.31945345610551,-0.327071226755478,-0.846171294854782,-0.566678460166606,-0.601916261194014,-0.662719538798065,-1.10893047180483,-0.461121702446104,-0.0681976982761639,3.71896722643048,0.783575173649147,0.75531519115833,-0.156255534119196,-0.784294472455964,-0.719114243705972,0.281895281724843,0.578863351727462,0.802097705506673,0.141065308490023,-0.661768566341831,-0.955043458620243,-0.841876947376415,-1.94902557409008,-0.597998104495326,-0.391752205838501,0.865361946265223,0.946764288489017,-1.34058149899862,-0.537953729979709,-1.29563650615534,0.0223754233745598,0.0810663012705433,1.07758608961035,1.03757377709023,1.16341074416415,0.326040674643636,1.84339154948151,0.302542510851413
"ACH000477",0.0358123365976171,0.331540925517378,0.476723581773204,0.192888950093043,0.677568330954474,0.29981291212074,-0.834666232592319,-0.141154095612762,0.489941407187096,0.154679497212952,-0.265931178113461,-0.581290540428686,2.01565785067779,-0.662719538798065,0.795999143471299,2.08889737673241,2.1627645570292,0.975764740926981,-1.34547733497747,-2.23657405532999,-0.403381827279636,0.535017427200682,-0.616949903851855,0.704189693140366,-0.925285812527601,0.244588806594092,0.729952550656816,0.488105225282756,-1.04263086210334,0.952734277207517,-0.533249878168449,-0.118073090169291,0.873384427945289,0.882099876279743,0.364912630560066,0.760031078095023,1.0102675972934,-0.053460603190631,1.28129911347511,-0.331211780485064,0.216461711036763,-0.104107568924787,-0.838330767985803,1.22702155562791,-0.913081882430475,0.355771712961192
"ACH000550",-0.414884439463984,0.115690233974556,-1.1927317194931,0.935678935196875,-1.75249809419994,-0.488250591510643,-0.980305142617187,-0.508012573281532,1.17684726012892,-0.314184943319818,-0.177279508679693,2.96575882037333,-1.19179839456325,-0.128678053727619,-1.2394000371113,-2.36626057434091,1.23355084097286,-0.524475216652739,1.16725762400138,0.209848196622588,-0.894988102952433,0.0106051797745395,-0.842442320662684,-0.133502717631404,-0.448786045836257,1.15337949407942,0.0164435947571719,0.249474311521456,0.768894637662758,1.44688945393109,0.741171651417037,1.94857123381708,1.37830766327153,-1.50292372102095,0.958838468030394,-0.865521385647959,-2.35012634357724,-1.5415257033924,-0.961929806730425,0.0826549757276631,-0.162972792874582,-1.18809472805883,1.21125554317867,-0.179304319757733,0.453341986595389,-2.83713457989248
"ACH000572",-0.185220526436835,0.290135157686502,0.440419525349644,-1.13905896998095,0.906618811749794,-0.458257551864836,-1.30594593753407,-1.47990660195049,-0.964977691908855,-0.496324895789132,-1.28748178241718,-0.725204362322032,-0.128710150857067,-0.134177109182875,0.683961598707935,1.94930673849115,-0.100270059546787,-0.147718970726638,-0.0602801947425527,-1.84758922345124,1.75340173533671,-2.37771582638153,0.939104240836541,1.36169505900664,0.470254467659753,0.474385843611575,-0.405486501828146,-1.25611577274318,-1.76549819806522,0.899404853374818,-2.21077583317176,-1.00154556279696,-2.23339577463617,1.12717329470811,0.195904312982998,-0.9263496726281,0.751938629226326,-0.708513320393884,2.34714235583128,-0.628889563265145,1.26349237861932,0.258318512659696,1.08583315760546,0.480024294902975,0.637353211280542,0.124387936709667
"ACH000579",-0.202827895832515,0.058843472316139,0.217681992466691,0.633894024228628,0.325425539146308,-0.115466150559988,-0.0619834632936899,0.490226283058996,-1.23602852205574,-0.467490982199706,-0.0234091719702926,-0.547848935873721,-0.73321672809282,-0.662719538798065,0.0890031876554381,-0.816593770086953,-1.06639535995751,-1.28679844630865,-1.69896095695138,2.11826067025438,0.349154026532414,1.58266522306636,-0.52060158402767,0.392076904500218,1.41776884550776,-1.27475918464279,1.93285135263131,2.01431515487445,-0.862427086402092,-0.73832995560179,1.29614315925058,0.276613808221414,0.518091736626527,0.95110916400766,-2.22125546276867,-0.162248124903574,0.908621797887986,-0.0607962397142219,0.651791974958144,-0.628889563265145,-0.118850538233395,-0.490552523831561,1.28831898794596,1.57197707161496,-0.757926027929425,0.274870468255181
"ACH000580",-0.294260675711981,-0.0510756541611868,0.0213557886367116,0.961553335107969,0.798177453532451,0.143442311987971,0.619402424966453,-0.914193967111643,-0.45951111487954,-1.1129468586467,-1.69838033635832,-0.467807459351028,-0.285656687486281,-0.662719538798065,-1.32992288600829,0.267093816143924,0.0194728604164838,0.808532726728637,-0.50468798342253,-0.015489355002058,-0.0587537968542384,-0.18447217241281,-0.248739915423107,-0.313032959748752,0.0108529731110163,1.19622170282248,1.18293666703728,0.607725980276734,1.09266532055101,-0.349338186280884,1.34485902198427,2.42534918730252,0.426675354884854,0.517871781621597,1.02826103695897,-0.152690513483338,-0.00953454625901764,0.708754147380846,0.0150931166901632,-0.628889563265145,-0.837832067893619,1.09020007632065,0.329628378210757,0.968228305278842,0.541998169631651,0.423213860547158
"ACH000614",0.527077239178548,-0.134776590335601,0.45435284334563,0.149474259104606,0.518598729587929,1.15262882659973,2.86309867266364,1.61745308687362,-1.00676019150327,0.941463568936611,-0.855353726280126,-0.365801542878914,-0.93536258777116,-0.261428484615385,-0.566080643590554,-0.694940342239395,0.416537374506181,0.977296998006352,1.69732330034823,1.53545122579798,0.281811506239659,-0.112020260490283,-1.22112836206116,-1.01656038989239,-1.51076753212349,2.22149474165875,0.713038463018437,0.698274752795711,1.10923038246591,-0.0178114795957364,0.159110831620234,-0.691015826546752,-0.924507310025562,0.956251121484381,-1.01648804765462,-1.08884771714886,0.532824944915369,1.11712713806082,0.0406996156184768,0.126759674787854,0.279008296053182,0.937179098637967,0.941568869105547,1.1753792457306,-1.17402433008178,0.493832552358248
"ACH000615",-0.0160715761301145,0.427145854714458,0.383992570062737,0.0330506497416501,-0.957259959202044,0.535962490504431,-0.599253157615145,-0.138295251501927,-0.960756900148109,-0.360418427415069,1.79099760413323,-0.254722180105865,0.104755419678956,0.323318383540901,0.0373010159937016,-0.258430522390234,0.206416202141741,-0.0179576128658456,1.63081620716945,-1.46211108769977,-0.615776564176487,1.86525249252745,-0.424148034433117,1.8438948258414,-0.694058339605418,1.87874931688321,0.351029470743308,0.743146327866461,-0.542949679130417,-0.168016860674951,0.225661168323558,-0.311218712998479,-0.0662971659379291,0.974888728276154,0.755658142250654,0.0776778223824481,0.224378663930316,-1.09519083190314,0.921496016895032,1.48528643132874,-1.68608548035406,-0.208175955397409,-1.85930040532946,1.71733126391231,-1.25797250601379,0.451239892886062
"ACH000640",0.223140585536644,-0.79097016705379,-0.320010583036756,-0.28256990099479,-1.28429040693894,-0.29610303257196,-0.398528980761192,1.14678286654094,0.658560914624743,-0.518603253826562,1.44889719496914,-0.049586570614459,1.57198096355643,0.918891659037983,-1.61503888114784,0.606322497706278,-0.246904054536497,1.84669572592748,0.560149545438409,-0.0714573285486782,-0.519003215717366,-2.11668934919656,-2.09926924510785,-0.704623462444177,1.15512106252311,-1.01061060564356,-0.684171417373898,-0.498350884655603,0.693298009282714,-0.2597161963698,-0.143701225236149,-0.536448627164855,-0.548898965445936,-0.630481826672463,-0.189333646936011,1.04430064652196,-0.076728995839395,0.0237291504233175,-0.88197653620852,-0.345065950522427,-0.513815514970995,1.11615206604096,-0.371724154500949,-1.09699151915927,-0.963701203175768,0.343128962699723
