"","sample","undifferentiated_signature","undifferentiated_neural_crest_like_signature","neural_crest_like_signature","neural_crest_like_transitory_signature","transitory_signature","transitory-melanocytic_signature","melanocytic_signature"
"ACH000615","ACH000615",-0.235764384099552,-0.467608367823796,-0.426967962812469,-0.519412862984404,0.184490553537742,0.764680635995175,1.14913391121407
"ACH000640","ACH000640",0.281604359046331,0.600848898636923,0.596570923819349,1.13266737608959,1.11937840381962,-0.236903407087802,-0.470096251741733
"ACH000644","ACH000644",-0.179564544119099,-0.10927294454012,0.0588900727866704,0.327331605193961,0.55064946002996,0.206446769887803,-0.188913744645689
"ACH000650","ACH000650",-0.400924025656959,-0.815221012892854,-0.779046732095363,-0.953919404213359,-0.716867554300577,0.53435681786423,1.17857675325385
"ACH000730","ACH000730",-0.201332499242354,-0.803914838520151,-0.506778374824033,-0.489627123349733,-0.067461180285407,0.840313291124675,0.984288158006476
"ACH000750","ACH000750",1.00607995671444,0.790659118667884,-1.08809544816747,-1.25082976880864,-1.12749795683782,-1.35108519544633,-0.870969715659877
"ACH000788","ACH000788",0.0928761876059929,0.177410422956002,0.0917774737004969,0.129718538466891,-0.285177393550085,-0.607272421148852,-0.685414127852847
"ACH000799","ACH000799",0.566558597565481,0.661534366295725,0.68976265576153,0.480893984728552,0.162805573926736,-0.724672001089072,-0.697045501671322
"ACH000805","ACH000805",-0.272611359313689,-0.709894582076235,-0.656423207671248,0.224196390978363,0.517366068923892,0.216030854524552,-0.122916551942276
"ACH000812","ACH000812",-0.270250049694263,-0.392136245710362,-0.0253813125927275,-0.236209722224111,0.150750814343736,0.283420210017388,0.330377423965019
"ACH000814","ACH000814",-0.0196980356077747,0.288998299724909,0.394918454144899,0.124737301534479,0.0341632723411865,0.0062489465038775,0.0657164585683056
"ACH000822","ACH000822",0.138580602747878,0.823694780238628,1.25385374905855,1.09557560266443,0.396465258142087,-0.503816879027081,-0.660635549976384
"ACH000882","ACH000882",0.0449908703218613,-0.245971666888111,-0.237581470732252,-0.675626615294781,-0.722249486962096,0.328551627620556,0.882966183827323
"ACH001239","ACH001239",-0.200992364918869,-0.396626479311781,0.0169809407662579,0.805886162909645,1.05808357578322,0.380750623230555,-0.166878167732175
"GSM2138481","GSM2138481",1.5190307126269,0.694358406376976,-0.544799723777026,-1.19347397073813,-0.77147593588809,-0.955490342180418,-0.557912451407341
"GSM2138482","GSM2138482",1.53281212059292,0.626730933884532,-0.472218695592748,-0.870652734963572,-0.549014485625542,-0.734703611481419,-0.450526995709946
"GSM2138487","GSM2138487",1.20285591697965,0.541742855762547,-1.00519652164807,-1.39830999193617,-1.17544489632488,-1.21450187345243,-0.912197362094038
"GSM2138488","GSM2138488",0.918126488506639,0.378875414659647,-0.18433560913057,-0.497083214257686,-0.259652741573917,-0.518614435389777,-0.456285672820007
"GSM2138489","GSM2138489",1.80296455966986,0.587136871602005,-0.746038913365885,-0.890619889977588,-0.739401497997977,-0.855297766885099,-0.485041348794252
"GSM2138491","GSM2138491",0.166480931072487,0.802677006311891,0.680727641205697,-0.226761605064018,-0.659589950535222,-0.913412360282147,-0.406569112854092
"GSM2138494","GSM2138494",-0.387974978608317,0.525554873212712,0.981136756557204,1.27839010215808,0.00409497655389774,-0.537306883896575,-0.710481332483053
"GSM2138495","GSM2138495",0.337273287243086,0.729031098390512,0.596291690039159,-0.211684745813588,-0.640747733380563,-0.671097241347425,-0.306680537465693
"GSM2138496","GSM2138496",-0.38055559087749,0.197946206571573,1.03876871152255,0.649933923937821,-0.118825345625616,-0.46582673202297,-0.466642198929654
"GSM2138499","GSM2138499",-0.365315114383366,0.366273771788601,0.801152500187851,1.02448617132089,0.0799555330422547,-0.444167458847095,-0.568785989057986
"GSM2138500","GSM2138500",0.0125314585669783,0.643267766972072,0.951518647214282,0.849516108134954,0.158238176083975,-0.358232526310843,-0.331962231667896
"GSM2138501","GSM2138501",0.584588542078622,1.09963744223041,0.891556069716736,0.325761276236464,-0.590315544982145,-0.705497907258012,-0.24885106297179
"GSM2138502","GSM2138502",0.0861050055241554,1.25243341016063,1.2625540012297,0.434228981375863,-0.76643886648943,-0.809495584316537,-0.313670045979545
"GSM2138503","GSM2138503",-0.457757912383649,0.672235371898817,1.26004174232541,0.656514844398865,-0.345733181195136,-0.796331223350878,-0.519460202304831
"GSM2138504","GSM2138504",0.0719393286553,1.15472171412398,0.893265984317948,0.566576218127069,-0.422065713378525,-0.823878989395483,-0.348983714499563
"GSM2138505","GSM2138505",-0.555047349869357,-0.720461807570336,-0.279708249041835,0.940043639443852,1.24242067396488,0.480045855670048,-0.527403637475234
