"","sample","creb1_targets","crebbp_targets","crem_targets","ep300_targets","fos_targets","fosl1_targets","jun_targets","jund_targets","mitf_targets","nf1_targets","nr4a2_targets","ppargc1a_targets"
"ACH000579","ACH000579",0.00735983272242251,0.041267940311313,-0.0205897348073026,-0.0372319023125989,-0.0507111834659891,0.0095485632246228,-0.0857093628124445,-0.157123419265389,0.0689142374485479,-0.175578119136106,-0.047580032316244,0.344167724452643
"ACH000580","ACH000580",0.0577968785202566,-0.00537107214959838,0.0609412337783012,-0.0279585046520389,-0.000822834207018264,0.0463738782906675,0.0418371333722992,0.0871795871620251,0.0159625005887511,0.0701443849648314,-0.0792776387356292,-0.313377364927406
"ACH000614","ACH000614",0.0296792384546792,-0.016141548911763,0.026423149157205,-0.00822734911554712,0.0366496489595336,-0.0107759174790885,0.0408129501766602,0.0947658207101284,0.118852321281149,0.0609489796446501,-0.00527441008795334,-0.389561114445599
"ACH000615","ACH000615",-0.00943539359313639,0.00213693346941615,0.0528755412853275,0.0228226068796072,0.0816295799331136,0.0110311805115315,0.0470010535963361,0.0957914261417154,0.163923721934114,-0.0556814520898008,-0.0864933342144853,-0.0691258446051246
"ACH000640","ACH000640",-0.0677634538161995,-0.081110639366927,-0.0925846775331562,0.03893050382638,0.0834207705088136,0.0180789082876416,0.0827745704378769,0.141952235758579,-0.0543867551105875,0.179768323967546,0.0330240558736146,-0.0470562982341394
"ACH000644","ACH000644",-0.0509763749415528,0.0295939251947372,-0.0690979703102833,-0.0314170555296596,0.0195831083271666,0.0184290485396998,0.0160182341820699,-0.0061618361344388,-0.0134293132449749,0.0534973020963486,-0.00610286187000807,-0.42437915772025
"ACH000650","ACH000650",0.0355089794615812,0.0209745433755231,0.070328659916324,-0.069784850648101,-0.100438666442792,-0.108045705903267,-0.104915890960767,-0.115538771053439,0.0489981598171606,-0.233354169966056,-0.106374796823131,0.735121897187151
"ACH000730","ACH000730",0.029861380274754,-0.0974515763955381,0.0469335451560619,-0.00980046629856733,-0.0303101132747448,-0.0197362715153036,-4.87890962885791e-05,-0.00444330942955044,0.14007519132222,-0.0610082316493326,0.0429362600953281,0.141618599546258
"ACH000750","ACH000750",0.133513941641653,0.0463478548848083,0.124532870779081,-0.0896480922878549,0.00863707528706906,0.0530159394563582,0.0191426157314463,-0.12137562953011,-0.248696563078521,-0.156513395721678,-0.0621189174182565,0.416244200066418
"ACH000788","ACH000788",-0.0105237938811459,-0.0970841097522632,0.000144060521772556,-0.0694751339234012,-0.1029471550894,-0.0652603389669731,-0.0662968551091391,-0.0608433460834253,-0.145849983440128,-0.0904957615068737,-0.0567912339849537,0.475572385208951
"ACH000799","ACH000799",0.0108888954410318,0.0555369361589637,-0.0279500174814567,0.0899098239626681,0.00517113085898374,0.14313438410149,0.0390416868991056,-0.118876230425966,-0.0170105066599415,0.181371084518363,0.198837853328262,-0.512248323150555
"ACH000805","ACH000805",0.001154674323276,0.0822808625209922,0.0156479264830734,-0.019674055326017,-0.0599621444533139,0.000890065582321657,-0.0272995477184275,-0.02053920129579,-0.0131135721149297,-0.0517960149769925,0.129731582524208,0.346236756018079
"ACH000812","ACH000812",-0.0986364578940146,-0.101642063745115,-0.00190281363580439,0.000435775179117934,-0.0347968196289726,-0.0711211200926929,-0.036294847007335,0.0833960092311524,0.0753096265355431,0.0146266879590843,-0.11304223826676,-0.190819480405367
"ACH000814","ACH000814",-0.0165759659273926,-0.0713940629478852,-0.030909320239498,-0.0326167641089893,0.0136293449453346,0.020938694786199,0.0159190296643446,-0.010919507140371,-0.0327382437088669,-0.0173863000902045,0.0229619746740417,-0.115501101294057
"ACH000822","ACH000822",0.0569893927645289,-0.0676543008088126,-0.0053449268870895,0.0239017368438403,0.0430501118161251,0.0679402423978905,0.0905834547994094,0.168603107507821,-0.00259643139918083,0.202994987183644,0.0727501241849092,-0.347413735279846
"ACH000882","ACH000882",0.0584518122656333,-0.030202616128474,0.028091663859422,-0.00491925235696946,0.0413705431282275,-0.0129541778566556,-0.00636830632659361,-0.0579262967095815,0.0627039641845211,-0.0861556179382916,-0.108791787429402,0.363047828702473
"ACH001239","ACH001239",-0.164838532751681,-0.111257070643255,-0.101635299886156,-0.0266540855347395,0.029828018252401,-0.116666893766179,-0.0587666695156113,0.128078411079995,-0.0170524033351755,0.0124577740471632,-0.21152913414129,-0.531969650559383
"GSM2138481","GSM2138481",-0.00283255494644457,0.0180967060195393,0.0235910389225518,0.0322418775318837,0.0315546343230005,0.0455106986545316,0.0362541826453788,0.0645654968330518,-0.173547958288202,-0.0204006474669726,0.00823579446481499,0.490981477936866
"GSM2138482","GSM2138482",0.102248691411648,0.0915775896910664,0.0533422931183846,0.10058969362848,0.023291818749833,0.0931456096312994,0.0641018652082319,-0.00454622946544252,-0.0766795877568778,0.147490201107125,0.188915755279897,0.324024314618024
"GSM2138487","GSM2138487",0.216177176737816,0.117200633148454,0.230155894261385,-0.0547332950296784,-0.025323283277139,0.121432455624911,0.0482850911965756,-0.0268005586863282,-0.140010437045771,-0.118148453560553,-0.152556305260124,0.930838172000071
"GSM2138488","GSM2138488",-0.0131553125254074,0.105582243231967,-0.0583836087993033,0.0759028749351121,0.0741102150166161,0.0177893770470026,0.0122832967157994,-0.00550372208120248,-0.102929796480405,0.018667147631466,0.0379448208068992,0.0628493668818487
"GSM2138489","GSM2138489",0.096053711267435,0.0626130822643957,0.115116455897771,0.0246248399428479,0.0442122033100905,0.149868530163318,0.0856352523286383,0.0488755154881309,-0.116178210048305,0.0527155959856711,-0.0268056734269078,0.481701312200753
"GSM2138491","GSM2138491",-0.0948750012205487,0.0658342122410529,-0.0969237227693007,0.0422009597390988,0.0631720692470973,-0.0569464627557801,-0.0108660387381642,0.0763531813179787,-0.133764417181652,-0.0292736562825777,0.059598940091777,-0.050738039823602
"GSM2138494","GSM2138494",0.0469288224097004,-0.0882179733275529,0.100951855781114,-0.00731404382135582,0.0169533365763209,0.00244773388874283,0.0146773807260918,0.146744399420086,-0.0056222863004858,0.11952745173813,0.0334349377027983,-0.372985269858364
"GSM2138495","GSM2138495",-0.0342839105434094,0.0777348458125031,-0.0527780492776504,0.0768228151738488,0.114581628977342,0.0212327649468697,0.0081571703036485,-0.0238924275707427,-0.072834461707169,-0.0271983899363952,0.144571134952376,0.23102140360603
"GSM2138496","GSM2138496",-0.0706749475036507,0.0271749052150415,-0.0696612262072869,0.0405639739234001,0.016103529463751,-0.0392956066294324,-0.0212252482823931,-0.00857542623665723,-0.0335430606953737,0.000655573026313385,0.0501168029337104,-0.489510109102862
"GSM2138499","GSM2138499",-0.0225391382669039,0.0160586232517091,0.0102857030117042,0.0794923429167367,0.0631564362947498,0.0483223127009386,0.0226411882986258,0.0477311547836983,-0.0232273891094148,0.0680024745051504,0.118863787540374,-0.413150134868421
"GSM2138500","GSM2138500",-0.102422168271348,-0.00380421362818002,-0.110450265709262,0.0674799627173848,0.079294637983823,0.0293652434237999,0.0523152987890975,0.0997131930940445,-0.0189695597924025,0.168875247817889,0.0985879658820903,-0.800901055818741
"GSM2138501","GSM2138501",-0.0822097451207794,-0.00550368060374618,-0.0623725473389559,0.11979369242657,0.156368261804716,0.0627135984846891,0.106064747892747,0.259534927261886,-0.0276600095030507,0.175662536469885,0.165755794535516,-0.59875715373552
"GSM2138502","GSM2138502",0.110157258526306,0.0283820027188444,0.12152625269278,0.0188896340941922,0.0715589025821461,0.144082112639981,0.0878644305637712,-0.0107589198654329,0.0584271718457415,0.0972304971720068,0.136413170867355,-0.146580091138282
"GSM2138503","GSM2138503",0.0211255726591911,0.0243671575794104,0.0208465873173417,-0.029131151912123,-0.0282188401305552,0.0249086900472436,-0.0113088578081272,-0.0070124062168675,-0.0158546567817541,0.0489803331348596,-0.100506715816076,-0.337012728444606
"GSM2138504","GSM2138504",-0.0759432909339964,0.0853511316685368,-0.0253145263748175,0.0315230168429132,0.0675479160392955,0.0628055450535155,0.0815650859056323,0.0439080382603005,-0.0499976720849723,0.142826521535595,0.0462398011409624,-0.811341011949146
"GSM2138505","GSM2138505",0.0359684621029085,-0.119181466312735,0.0118908989791262,-0.0489637945731204,-0.0835689298529845,-0.0929582424953011,-0.037493769647128,0.0522259892188475,0.0360406070189373,0.00838410334637368,-0.0943805635799238,0.315877874794426
"GSM2138506","GSM2138506",0.0730093208716722,0.0177744474926271,0.118921576454565,-0.0730442637399412,-0.0932899285735646,-0.0764851175754062,-0.0527215215396003,-0.0687928766940653,0.0777028375422196,-0.0776366112403754,-0.055679553803904,0.255163105352067
