"","sample","EGF receptor transactivation by GPCRs in cardiac hypertrophy (bp_114)","Signaling pathway from G-protein families (bp_119)","CREB phosphorylation through the activation of CaMKK (bp_1202)","CREB phosphorylation (bp_1222)","Class B GPCRs (secretin family receptors) (bp_1226)","Eicosanoid ligand-binding GPCRs (bp_1233)","Free fatty acid GPCRs (bp_1244)","G-protein-mediated events (bp_1246)","GPCR ligand binding (bp_1247)","Hormone ligand-binding GPCRs (bp_1249)","Lysosphingolipid and lysophosphatidic acid (LPA) GPCRs (bp_1253)","Nucleotide-like (purinergic) GPCRs (bp_1257)","Peptide GPCRs (bp_1260)","Amine ligand-binding GPCRs (bp_1270)","CREB phosphorylation through the activation of adenylate cyclase (bp_1496)","cAMP receptor, G-protein-independent pathways inferred from amoeba model (bp_1666)","Cell differentiation by G alpha (i/o) pathway inferred from mouse Neuro2A model (bp_1674)","G alpha s pathway (bp_1679)","G alpha q pathway (bp_1680)","G alpha i pathway (bp_1684)","cAMP cell motility pathway inferred from amoeba model (bp_1687)","G alpha 12 pathway (bp_1688)","G alpha 13 pathway (bp_1693)","Non-class A, B, C GPCRs (bp_1699)","G-protein signaling through tubby proteins (bp_173)","Small ligand GPCRs (bp_1734)","CREB transcription factor and its extracellular signals (bp_175)","Class A GPCRs (rhodopsin-like) (bp_1753)","Class C GPCRs (metabotropic glutamate and pheromone receptors) (bp_1756)","Nucleotide GPCRs (GPCRs) (bp_1774)","ChREBP regulation by carbohydrates and cAMP (bp_419)","Signaling by GPCR (bp_535)","Protein kinase A (PKA) at the centrosome (bp_58)","Activation of cAMP-dependent protein kinase, PKA (bp_6)","G-protein signaling pathways (bp_605)","G alpha (i) signaling events (bp_620)","G alpha (s) signaling events (bp_621)","G alpha (z) signaling events (bp_622)","G beta-gamma signaling through PI3K gamma (bp_630)","Gastrin-CREB signaling pathway via PKC and MAPK (bp_631)","IGF1 receptor signaling through beta-arrestin (bp_653)","GPCR downstream signaling (bp_657)","G alpha (12/13) signaling events (bp_661)","G-protein beta-gamma signalling (bp_678)","Angiotensin II-stimulated signaling through G-proteins and beta-arrestin (bp_706)","PKA activation in glucagon signaling (bp_708)","Seven transmembrane receptor signaling through beta-arrestin (bp_713)","G-protein-independent seven transmembrane receptor signaling (bp_730)","Attenuation of GPCR signaling (bp_76)","Beta-arrestins in GPCR desensitization (bp_78)","Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling (bp_79)","G-protein activation (bp_904)","PKA-mediated phosphorylation of key metabolic factors (bp_961)","Activation of PKC through GPCRs (bp_98)"
"ACH000441","ACH000441",0.15848550857871,0.0540296322104782,0.539553627321913,0.365617014796104,-0.101716178770384,-0.401069493854771,-0.615052569308652,-0.0280093598610548,-0.1953987330439,-0.073628380826144,-0.93930113627545,-0.193054814131515,-0.154868789910333,-0.153276346403852,-0.121658332097006,-0.152980361327983,-0.165312463672213,0.0330555770069656,0.0904949080527785,0.0865129862697654,-0.143183477115102,0.0959862486520979,-0.0302681878678466,-0.197828919389784,-0.356793613979564,-0.78567123433115,-0.163146807713704,-0.211030354403688,-0.351712016014973,-0.396327830040316,-0.165109954218559,-0.176337627346271,-0.475697212609847,-0.00889838225299313,-0.0928578159767331,-0.0716221402836224,-0.0055703821552649,0.0977092822633094,-0.664360055081135,-0.118718943705901,0.014143766687321,-0.151361129859302,-0.293663325521751,-0.106915073195135,0.0829150727374757,-0.168480770905556,-0.100091795818019,-0.0770462789847709,-0.661149034426034,-0.414868926196411,-0.148763908284932,0.006648612234653,-0.723307298288968,-0.159950332786732
"ACH000465","ACH000465",0.174958387600532,0.162767464429876,0.0408857572786898,-0.102426379097548,-0.257306296616832,-0.11720037712604,0.829095580005721,-0.12964600723244,-0.242053545201452,0.207701738398115,0.264546746995637,-0.415999995570923,-0.172292228023218,-0.366565837101578,-0.487967845622851,0.0429851233937968,0.0445633308755921,0.0930166206473011,0.187054630652286,0.228201755306426,-0.0526046328775994,0.270937527149702,0.234121647262717,-0.0787290787180061,-0.715547093312129,-0.198545506646726,0.130544338042869,-0.230477451756486,-0.181395543095588,-0.111046454597779,-0.216288942234323,-0.0935891579827659,0.0262111526236305,0.291931292069201,0.00712330720373144,-0.0665132107453435,-0.116868842123391,-0.0478019688599784,-0.37776239478115,0.043383458340467,0.224982103754047,0.444511265433379,0.0433723134135897,-0.205243199917442,0.340748390252534,-0.0815868598146473,-0.000930164536232262,0.359785357273884,0.441002092621657,0.381116553680616,0.327186444874142,-0.181726976892628,-0.794589762768343,-0.206910110101888
"ACH000477","ACH000477",-0.0305803838737284,0.326336489549833,0.881959207792858,0.613025017854917,-0.125845329773016,-0.255059207012102,-0.607565070439342,0.232217288379882,-0.0278043787133465,0.293538055887498,-0.459238305915422,-0.182302603015089,0.101402649596749,-0.303710837345626,-0.184291144697123,0.649724091811382,0.178248458972431,-0.081005568605077,0.266762577111379,0.0910167466264526,0.164955751417215,0.0416325783355907,0.272563191350132,-0.0805824568015189,-0.751479337376203,-0.239422116252192,0.307560312456509,0.057557312200884,0.196641089598685,-0.116158838227271,-0.271829996657879,0.0064937189868866,-0.300633040016285,0.486285914449989,0.10621864058876,0.0835476715936407,0.0478771755179317,0.18722521216596,0.790197121546042,-0.0932154085676521,-0.318434476361273,0.00214323225126425,0.141080585398939,0.108027479861558,0.192069563801228,0.288714214504061,-0.0810436288262419,-0.270362163945376,0.0682305923031226,-0.139627909980082,-0.323470350568144,0.063158040687503,0.172175786410598,0.209743429331629
"ACH000550","ACH000550",0.161148537360817,0.150770560348513,-0.0306236087849983,-0.802891784243252,0.247466036946334,0.697300474135885,-0.173448217998468,0.0942930878912259,0.219904507215333,0.44370946457577,0.638212291620518,0.686504477828029,0.0974095286178912,0.447001529098237,-0.246485841307449,0.0813015365460208,0.0640022402689338,0.202390856097288,0.146834357806281,0.206253431704785,0.132016429747128,0.182967108423291,-0.0705590006423904,0.412979413420045,-0.320859671886489,0.685057424790607,-0.0467105457576788,0.167754788201673,0.211496726428581,0.555073311976001,-0.0821989541985609,0.155571000638961,0.160471344957823,0.509159710207163,0.124120273143292,0.201311343583504,0.20832947840155,0.155255878275917,-0.0782774790931702,0.148164816585887,0.415401218126765,-0.294845946740512,0.173059636210256,0.0427422709848774,0.271758402763907,-0.00294650879502778,0.121725009815115,0.335158508065056,-0.292136725441148,0.309033775836607,0.114716118954991,0.210009071596411,1.36086488712674,-0.11442961547342
"ACH000572","ACH000572",-0.389274586808801,-0.113312848494323,-0.105822246838783,0.145431733347668,-0.114532134798919,-0.752756373864142,-0.857356953245011,0.236087386943609,-0.318941588170928,-0.532678776730202,-0.085009454070815,-0.45582060300902,-0.332185408982234,-0.541926241922602,0.208875870205445,0.116792337083645,0.0327907833032721,-0.0269196543670042,-0.383083011362699,-0.0622485558581269,0.0797604897592986,-0.0211042391640727,-0.261828462156741,-0.471374590334888,0.476325829263135,-0.362722122719925,0.222786281565054,-0.383583982605601,-0.447890359398084,-0.379502692821673,0.0924432849306338,-0.139586188335544,-0.00689577516308087,0.666261672394605,0.265697208053265,-0.201078816043081,-0.00794821335261442,0.0300472381326024,-0.194224178728548,-0.262031565904981,0.268790264959676,0.469894344561868,0.0662730800513042,-0.00665260434233702,0.059338974487509,0.104331373155148,0.0134880348650945,-0.0465681875604605,-0.221598270490761,0.365454640775503,0.280759320344301,0.0907934735821646,-0.437242713727854,-0.290942991470531
"ACH000579","ACH000579",-0.238913062599498,-0.374813121698088,0.357032456969099,-0.142281449856483,-0.39753078673445,-0.451680893344572,-0.5812601831454,-0.182778781816703,-0.388240497901355,0.0566569292212155,-0.428846245904899,-0.37398258985471,-0.424486167401886,-0.247517638483238,-0.0356991911226879,0.23347673231839,-0.161631818072027,-0.0654864715024715,-0.133964618867026,-0.18011789318971,0.044318380724902,-0.0706285209856167,-0.184491101330885,-0.154033146331658,-0.027606663659909,-0.793198313218822,-0.305517461155762,-0.34117378238384,-0.383327889526645,-0.494855275260265,-0.157054684865634,-0.261273761890772,-0.110365374051049,-0.017327573492064,-0.229648520517463,-0.275536479581455,-0.204899368520681,-0.173108151339392,-0.411020584561308,-0.251711588861782,-0.0446509513574186,-0.701019598846554,-0.125525144295761,0.010227885912464,-0.153144285027601,-0.332928755578567,-0.0715828246054491,-0.0523323920240864,-0.0866968933167239,-0.274285832054305,-0.190780448649161,-0.121420396604177,-0.975266380198807,-0.90139528173804
"ACH000580","ACH000580",0.356119641643902,0.487550190944172,0.0486148249735242,0.474386681255338,-0.0867600751748044,-0.120195185369944,-0.54071235409217,0.180930353313935,-0.183234108106475,0.0743974191470294,-0.526581111583095,0.0654664988174399,-0.197977192705908,-0.21685883586518,-0.430737208412131,0.0368514046034717,-0.0254963176994166,-0.00333691065782323,-0.162046067481202,0.0657233881798845,0.15766400514695,0.157986500692066,-0.137293692476107,-0.0795143650556706,0.276462796337607,-0.0204467565502964,0.0775975839275979,-0.169823460770068,-0.0928830045604608,-0.0376912295767829,-0.0906407115593605,-0.104798401766977,0.3802259705925,-0.0731188726217619,0.165840722571572,-0.171063676307005,-0.0165061040683627,0.0244288982239782,0.445152204454937,-0.110045695158589,0.0625299081027416,-0.448638942490424,0.0439451101811133,0.0889058794007518,0.249171879586953,0.123303889639119,0.103060995691552,0.003659375224527,0.1940389799446,-0.182958615394939,-0.0261860469809826,0.184851370447172,0.126843352756897,0.533897759872842
"ACH000614","ACH000614",-0.0699865273028308,0.0796063338274557,-0.880588384192999,0.338383817657288,-0.0676817129906978,0.0440131248780108,0.439582138845168,-0.167496665640261,-0.116714701616115,-0.454934654263609,0.219351761560318,-0.24191748033234,-0.251818222139158,0.0987699166511408,0.189055361832138,0.266240916055365,0.115502809171093,-0.0964639675534963,-0.0130646277213336,-0.0226674276386144,-0.146491277982289,0.115267261418152,0.0978956075643459,-0.0355280533410878,0.673745273322787,0.212123340885261,0.253458579120571,-0.136605824423404,0.435107515136285,-0.148720855929053,0.196768417232104,-0.0764353286700743,0.0925180374165657,0.0325192066120523,-0.088964582222923,-0.0983348908001479,-0.0585444735464236,0.0511071571732971,0.0146414766452664,-0.0831095442981012,0.119868632236339,0.22592574769324,-0.0184344672117444,-0.0560966768457291,0.0446848089237614,0.192619856448325,-0.168490143104486,-0.139626374309322,-0.277536919012616,-0.101809645694889,-0.0618345940694355,-0.251553725934289,0.0535668727835145,-0.0365100328207824
"ACH000615","ACH000615",-0.273048838396424,-0.0874708879610428,0.320809511200252,-0.227284286172558,-0.157778247215551,-0.430002146597251,-0.855918981638195,-0.0112016091934607,-0.0719149119009539,0.825549483619111,0.263291468693767,-0.139967561686775,-0.0822956966472887,0.0568182781938339,0.00181524340430259,0.188806566399657,0.0480138833917223,-0.100865385288008,-0.0977294545314484,-0.0672695898221631,-0.020719847275721,0.0699074761422539,-0.16568943383531,0.0685172985422627,0.819894930351318,0.178009012657362,0.00758216082059683,-0.0242417027776454,-0.289588811640157,-0.0372151805085171,-0.171542802075937,-0.0702950405399998,-0.249332104839217,-0.112065054284449,0.030416315644463,0.0214605827605413,-0.0367981648548974,-0.0407230070178868,-0.0979466935288117,-0.105636965696132,0.0793218697898523,0.751601698325251,-0.0541657289333642,-0.259899027799067,0.00385769676421937,-0.227092713524334,-0.0729453207232194,0.23869940350165,-0.273109074677496,0.0228607340471347,-0.14821711955354,0.10983870307382,0.0153629202577234,-0.5678872630171
"ACH000640","ACH000640",0.213804136895308,0.214938550754826,-0.162743162061359,-0.167803334392694,0.0759804491270341,0.376717175050154,0.334345327029263,0.396924610497542,0.237760357993264,0.000526282291106195,0.383897518588822,0.606150181577147,0.237440322737633,0.277255028588643,-0.588966448379278,-0.235773535202467,0.106524427797802,0.320379470093147,0.114249072353742,0.232595583297909,0.280316887840835,0.105695133791765,0.0436508291920514,0.101943875017585,0.362597706459289,0.636581476248561,0.145868459575305,0.370577361706406,0.344440624642061,0.433103198196863,0.437266637102815,0.233819796384635,0.346696735657691,-0.204514862439835,0.263362954842968,0.315292009144317,0.118816743014641,0.142937383666206,0.84830876513092,0.235809679071805,0.0885349444205999,0.690921109037409,0.145574452273397,0.164434203623255,0.0814654523229366,0.152029500201402,0.212343894215906,0.259361336921508,0.413046206053964,0.0955612461248708,0.027144234883681,0.320282042385253,0.533454014117087,-0.167986395461368
"ACH000644","ACH000644",0.064246461416582,0.0617109647575352,-0.832608375014203,-0.117002804749282,0.039463657483621,-0.160336841022838,0.0956474814649338,-0.0145126924115534,-0.112494625737623,-0.436519022393241,-0.464196605353154,-0.298358458215927,-0.117894429570959,-0.362577161513344,-0.235235588026884,-0.0379719997810444,-0.0439905675920514,-0.0590780712178147,-0.0107579803423158,-0.107854821042465,-0.00504991930146095,-0.103517667651592,0.0567276081368174,-0.0785645919911893,0.788509939584081,0.0395915059684009,0.039524762979635,-0.0777889043655991,0.209296689605417,-0.303673407561193,-0.251681729256368,-0.073237689820064,-0.404641800312559,0.394152609724106,-0.0266509097168256,-0.185634893081761,-0.11190719708827,-0.21459613445746,0.111692567755618,-0.122606654212934,0.130102959529422,0.0898421628363214,-0.209137300037338,-0.272863502787759,-0.0243002719340833,0.0396114607439348,0.026848811514496,0.111930308176324,0.0161353473331029,0.109322769173436,-0.152536448894743,-0.520592652694796,0.0568475762523062,0.460056148667632
"ACH000650","ACH000650",-0.0566799819059176,0.0570172797713649,-0.00540952540650225,0.105086314175642,-0.258494336631422,-0.52201527187911,-0.741247857141347,0.157157218582164,-0.360567625907311,-0.22682218667576,-0.722325305906267,-0.259340033080877,-0.410639754561871,-0.185557498821036,1.57895880415304,-0.283642143063006,0.00585298756131614,0.0722527877090209,-0.316804575552551,-0.0168047862812861,0.115274843504161,-0.199998620153107,-0.386881770785496,-0.201827286732511,-0.360432801949803,-0.719338066038185,0.314097411594836,-0.325021308564583,-0.285930523103095,-0.310966396687243,-0.150296808317273,-0.165628158414789,0.285044339342547,0.860428761177321,0.19313034769967,-0.249171144985777,0.201023596275825,0.254816565261427,0.164187246557843,-0.341576189181754,0.0252467150305387,-0.375313140387826,-0.0577562183748178,0.0523252917051159,-0.0504654672004802,0.460973521373027,-0.00622017510746071,-0.214664347645261,0.179577191318279,0.162150658756031,0.267484337217979,0.320892333138811,0.419146679307598,-0.569438014177087
"ACH000730","ACH000730",-0.195936947215512,-0.147897037234073,-0.344495142521808,-0.733955858670637,-0.241740403096121,-0.195186164254231,-0.33091518683115,-0.0288188527265501,-0.168378805749074,-0.104752860630686,-0.373619403045316,0.290323434241426,-0.167026102994294,-0.0602588965013478,-0.169842217911639,0.0659922302178139,-0.283458082449365,-0.165456067961864,-0.22782440363665,-0.199452950709103,0.000970075364484618,-0.306997510989467,-0.186948422529135,-0.115531557013701,0.0924143282273716,-0.410748991551298,0.119497301826926,-0.0938389868442302,-0.281548591219433,0.484892248142748,0.156514702171289,-0.126078543931417,0.0333325890996154,0.462869738746195,-0.0745257471297149,-0.180790923894248,-0.0358809228253258,0.0241485396973712,-0.310135632222274,-0.153441138694783,-0.303340055215702,-0.0264279452977537,-0.108037356789567,-0.232879440767758,-0.0548199959440651,-0.0172089156900275,-0.205363348095379,-0.428746653966819,0.382066631515507,-0.149767376141607,-0.182417249199192,-0.18811082528112,-0.303113135913266,0.0487940306839885
